# TIME (S)   X_POS (M)   Y_POS (M)
   6.19004679       87.5396423      0.950436831    
   6.20004702       87.6810608      0.895136535    
   6.21004725       87.8224792      0.838855267    
   6.22004747       87.9638977      0.781592965    
   6.23004770       88.1053162      0.723349690    
   6.24004793       88.2467346      0.664125383    
   6.25004816       88.3881531      0.603920102    
   6.26004839       88.5295715      0.542733848    
   6.27004862       88.6709900      0.480566561    
   6.28004885       88.8124084      0.417418271    
   6.29004908       88.9538269      0.353288978    
   6.30004930       89.0952454      0.288178682    
   6.31004953       89.2366638      0.222087368    
   6.32004976       89.3780823      0.155015066    
   6.33004999       89.5195007       8.69617537E-02
   6.34005022       89.6609192       1.79274473E-02
   6.35005045       89.8023376       0.00000000    
   6.36005068       89.9437561       4.88635674E-02
   6.37005091       90.0851746       9.67461318E-02
   6.38005114       90.2265930      0.143647701    
   6.39005136       90.3680115      0.189568266    
   6.40005159       90.5094299      0.234507829    
   6.41005182       90.6508484      0.278466403    
   6.42005205       90.7922668      0.321443975    
   6.43005228       90.9336853      0.363440543    
   6.44005251       91.0751038      0.404456109    
   6.45005274       91.2165222      0.444490671    
   6.46005297       91.3579407      0.483544230    
   6.47005320       91.4993591      0.521616817    
   6.48005342       91.6407776      0.558708370    
   6.49005365       91.7821960      0.594818950    
   6.50005388       91.9236145      0.629948497    
   6.51005411       92.0650330      0.664097071    
   6.52005434       92.2064514      0.697264612    
   6.53005457       92.3478699      0.729451180    
   6.54005480       92.4892883      0.760656774    
   6.55005503       92.6307068      0.790881336    
   6.56005526       92.7721252      0.820124924    
   6.57005548       92.9135437      0.848387480    
   6.58005571       93.0549622      0.875669062    
   6.59005594       93.1963806      0.901969612    
   6.60005617       93.3377991      0.927289188    
   6.61005640       93.4792175      0.951627791    
   6.62005663       93.6206360      0.974985361    
   6.63005686       93.7620544      0.997361958    
   6.64005709       93.9034729       1.01875746    
   6.65005732       94.0448914       1.03917193    
   6.66005754       94.1863098       1.05860543    
   6.67005777       94.3277283       1.07705796    
   6.68005800       94.4691467       1.09452951    
   6.69005823       94.6105652       1.11102009    
   6.70005846       94.7519836       1.12652957    
   6.71005869       94.8934021       1.14105809    
   6.72005892       95.0348206       1.15460563    
   6.73005915       95.1762390       1.16717219    
   6.74005938       95.3176575       1.17875767    
   6.75005960       95.4590759       1.18936217    
   6.76005983       95.6004944       1.19898570    
   6.77006006       95.7419128       1.20762825    
   6.78006029       95.8833313       1.21528983    
   6.79006052       96.0247498       1.22197032    
   6.80006075       96.1661682       1.22766984    
   6.81006098       96.3075867       1.23238838    
   6.82006121       96.4490051       1.23612595    
   6.83006144       96.5904236       1.23888242    
   6.84006166       96.7318420       1.24065793    
   6.85006189       96.8732605       1.24145246    
   6.86006212       97.0146790       1.24126601    
   6.87006235       97.1560974       1.24009860    
   6.88006258       97.2975159       1.23795009    
   6.89006281       97.4389343       1.23482060    
   6.90006304       97.5803528       1.23071015    
