 RUNNING SIMULATION...
 T=   3.21999741     , X=   45.5378647     , Y=   2.74806595    
 T=   3.22999740     , X=   45.6792870     , Y=   2.81466365    
 T=   3.23999739     , X=   45.8207092     , Y=   2.88028049    
 T=   3.24999738     , X=   45.9621315     , Y=   2.94491625    
 T=   3.25999737     , X=   46.1035538     , Y=   3.00857091    
 T=   3.26999736     , X=   46.2449760     , Y=   3.07124472    
 T=   3.27999735     , X=   46.3863983     , Y=   3.13293743    
 T=   3.28999734     , X=   46.5278206     , Y=   3.19364929    
 T=   3.29999733     , X=   46.6692429     , Y=   3.25338006    
 T=   3.30999732     , X=   46.8106651     , Y=   3.31212974    
 T=   3.31999731     , X=   46.9520874     , Y=   3.36989856    
 T=   3.32999730     , X=   47.0935097     , Y=   3.42668629    
 T=   3.33999729     , X=   47.2349319     , Y=   3.48249316    
 T=   3.34999728     , X=   47.3763542     , Y=   3.53731894    
 T=   3.35999727     , X=   47.5177765     , Y=   3.59116364    
 T=   3.36999726     , X=   47.6591988     , Y=   3.64402747    
 T=   3.37999725     , X=   47.8006210     , Y=   3.69591022    
 T=   3.38999724     , X=   47.9420433     , Y=   3.74681187    
 T=   3.39999723     , X=   48.0834656     , Y=   3.79673266    
 T=   3.40999722     , X=   48.2248878     , Y=   3.84567237    
 T=   3.41999722     , X=   48.3663101     , Y=   3.89363122    
 T=   3.42999721     , X=   48.5077324     , Y=   3.94060898    
 T=   3.43999720     , X=   48.6491547     , Y=   3.98660564    
 T=   3.44999719     , X=   48.7905769     , Y=   4.03162098    
 T=   3.45999718     , X=   48.9319992     , Y=   4.07565546    
 T=   3.46999717     , X=   49.0734215     , Y=   4.11870909    
 T=   3.47999716     , X=   49.2148438     , Y=   4.16078138    
 T=   3.48999715     , X=   49.3562660     , Y=   4.20187283    
 T=   3.49999714     , X=   49.4976883     , Y=   4.24198341    
 T=   3.50999713     , X=   49.6391106     , Y=   4.28111315    
 T=   3.51999712     , X=   49.7805328     , Y=   4.31926155    
 T=   3.52999711     , X=   49.9219551     , Y=   4.35642910    
 T=   3.53999710     , X=   50.0633774     , Y=   4.39261580    
 T=   3.54999709     , X=   50.2047997     , Y=   4.42782116    
 T=   3.55999708     , X=   50.3462219     , Y=   4.46204567    
 T=   3.56999707     , X=   50.4876442     , Y=   4.49528933    
 T=   3.57999706     , X=   50.6290665     , Y=   4.52755165    
 T=   3.58999705     , X=   50.7704887     , Y=   4.55883312    
 T=   3.59999704     , X=   50.9119110     , Y=   4.58913374    
 T=   3.60999703     , X=   51.0533333     , Y=   4.61845303    
 T=   3.61999702     , X=   51.1947556     , Y=   4.64679146    
 T=   3.62999701     , X=   51.3361778     , Y=   4.67414904    
 T=   3.63999701     , X=   51.4776001     , Y=   4.70052576    
 T=   3.64999700     , X=   51.6190224     , Y=   4.72592115    
 T=   3.65999699     , X=   51.7604446     , Y=   4.75033569    
 T=   3.66999698     , X=   51.9018669     , Y=   4.77376938    
 T=   3.67999697     , X=   52.0432892     , Y=   4.79622173    
 T=   3.68999696     , X=   52.1847115     , Y=   4.81769323    
 T=   3.69999695     , X=   52.3261337     , Y=   4.83818388    
 T=   3.70999694     , X=   52.4675560     , Y=   4.85769320    
 T=   3.71999693     , X=   52.6089783     , Y=   4.87622166    
 T=   3.72999692     , X=   52.7504005     , Y=   4.89376926    
 T=   3.73999691     , X=   52.8918228     , Y=   4.91033554    
 T=   3.74999690     , X=   53.0332451     , Y=   4.92592096    
 T=   3.75999689     , X=   53.1746674     , Y=   4.94052553    
 T=   3.76999688     , X=   53.3160896     , Y=   4.95414925    
 T=   3.77999687     , X=   53.4575119     , Y=   4.96679163    
 T=   3.78999686     , X=   53.5989342     , Y=   4.97845316    
 T=   3.79999685     , X=   53.7403564     , Y=   4.98913383    
 T=   3.80999684     , X=   53.8817787     , Y=   4.99883318    
 T=   3.81999683     , X=   54.0232010     , Y=   5.00755167    
 T=   3.82999682     , X=   54.1646233     , Y=   5.01528931    
 T=   3.83999681     , X=   54.3060455     , Y=   5.02204561    
 T=   3.84999681     , X=   54.4474678     , Y=   5.02782106    
 T=   3.85999680     , X=   54.5888901     , Y=   5.03261566    
 T=   3.86999679     , X=   54.7303123     , Y=   5.03642941    
 T=   3.87999678     , X=   54.8717346     , Y=   5.03926182    
 T=   3.88999677     , X=   55.0131569     , Y=   5.04111338    
 T=   3.89999676     , X=   55.1545792     , Y=   5.04198408    
 T=   3.90999675     , X=   55.2960014     , Y=   5.04187346    
 T=   3.91999674     , X=   55.4374237     , Y=   5.04078197    
 T=   3.92999673     , X=   55.5788460     , Y=   5.03870964    
 T=   3.93999672     , X=   55.7202682     , Y=   5.03565598    
 T=   3.94999671     , X=   55.8616905     , Y=   5.03162146    
 T=   3.95999670     , X=   56.0031128     , Y=   5.02660608    
 T=   3.96999669     , X=   56.1445351     , Y=   5.02060938    
 T=   3.97999668     , X=   56.2859573     , Y=   5.01363182    
 T=   3.98999667     , X=   56.4273796     , Y=   5.00567341    
 T=   3.99999666     , X=   56.5688019     , Y=   4.99673414    
 T=   4.00999689     , X=   56.7102242     , Y=   4.98681355    
 T=   4.01999712     , X=   56.8516464     , Y=   4.97591209    
 T=   4.02999735     , X=   56.9930687     , Y=   4.96402979    
 T=   4.03999758     , X=   57.1344910     , Y=   4.95116615    
 T=   4.04999781     , X=   57.2759132     , Y=   4.93732166    
 T=   4.05999804     , X=   57.4173355     , Y=   4.92249632    
 T=   4.06999826     , X=   57.5587578     , Y=   4.90668964    
 T=   4.07999849     , X=   57.7001801     , Y=   4.88990211    
 T=   4.08999872     , X=   57.8416023     , Y=   4.87213373    
 T=   4.09999895     , X=   57.9830246     , Y=   4.85338402    
 T=   4.10999918     , X=   58.1244469     , Y=   4.83365345    
 T=   4.11999941     , X=   58.2658691     , Y=   4.81294203    
 T=   4.12999964     , X=   58.4072914     , Y=   4.79124975    
 T=   4.13999987     , X=   58.5487137     , Y=   4.76857615    
 T=   4.15000010     , X=   58.6901360     , Y=   4.74492168    
 T=   4.16000032     , X=   58.8315582     , Y=   4.72028637    
 T=   4.17000055     , X=   58.9729805     , Y=   4.69466972    
 T=   4.18000078     , X=   59.1144028     , Y=   4.66807222    
 T=   4.19000101     , X=   59.2558250     , Y=   4.64049387    
 T=   4.20000124     , X=   59.3972473     , Y=   4.61193419    
 T=   4.21000147     , X=   59.5386696     , Y=   4.58239365    
 T=   4.22000170     , X=   59.6800919     , Y=   4.55187225    
 T=   4.23000193     , X=   59.8215141     , Y=   4.52037001    
 T=   4.24000216     , X=   59.9629364     , Y=   4.48788643    
 T=   4.25000238     , X=   60.1043587     , Y=   4.45442200    
 T=   4.26000261     , X=   60.2457809     , Y=   4.41997671    
 T=   4.27000284     , X=   60.3872032     , Y=   4.38455009    
 T=   4.28000307     , X=   60.5286255     , Y=   4.34814262    
 T=   4.29000330     , X=   60.6700478     , Y=   4.31075430    
 T=   4.30000353     , X=   60.8114700     , Y=   4.27238464    
